asset_id,asset_code,asset_name,asset_type,location,department,serial_number,manufacturer,model,acquisition_date,condition_status,last_maintenance_date
1,PUMP-001,Centrifugal Pump A1,Pump,Building A - Room 101,Operations,SN-2024-001,Flowserve,SIHI 2075,2022-01-15,Good,2026-03-01
2,PUMP-002,Centrifugal Pump A2,Pump,Building A - Room 101,Operations,SN-2024-002,Flowserve,SIHI 2075,2022-02-20,Good,2026-02-15
3,MOTOR-001,Electric Motor 5HP,Motor,Building A - Room 102,Operations,SN-2024-003,Siemens,1LE1 Series,2021-06-10,Excellent,2026-03-10
4,MOTOR-002,Electric Motor 7.5HP,Motor,Building A - Room 102,Operations,SN-2024-004,ABB,IE3,2021-08-22,Good,2026-02-20
5,TANK-001,Storage Tank 1000L,Tank,Building B - Yard,Maintenance,SN-2024-005,Stainless Steel,SS-1000,2020-03-05,Fair,2025-12-15
6,TANK-002,Storage Tank 500L,Tank,Building B - Yard,Maintenance,SN-2024-006,Stainless Steel,SS-500,2020-05-12,Good,2026-01-20
7,HEAT-001,Heat Exchanger,Heat Exchanger,Building C - Room 201,Operations,SN-2024-007,Harsco,Plate Frame,2019-11-08,Fair,2025-11-30
8,HEAT-002,Backup Heat Exchanger,Heat Exchanger,Building C - Room 202,Operations,SN-2024-008,SPX,Plate Frame,2020-02-14,Good,2026-02-10
9,COMP-001,Air Compressor 10HP,Compressor,Building D - Room 301,Maintenance,SN-2024-009,Atlas Copco,GA-15,2021-04-18,Excellent,2026-03-05
10,COMP-002,Air Compressor 5HP,Compressor,Building D - Room 301,Maintenance,SN-2024-010,Kaeser,SK4,2022-07-23,Good,2026-02-28
11,FAN-001,Centrifugal Fan Type A,Fan,Building A - Room 103,HVAC,SN-2024-011,Trane,CF-500,2020-09-11,Good,2026-01-15
12,FAN-002,Axial Fan Type B,Fan,Building A - Room 104,HVAC,SN-2024-012,Carrier,AF-250,2021-01-30,Good,2026-02-05
13,PUMP-003,Gear Pump 2cc,Pump,Building C - Room 203,Operations,SN-2024-013,Bosch Rexroth,PGH5,2022-05-10,Excellent,2026-03-12
